City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
iqaluit,63.7506,-68.5145,49.73,66.0,75.0,6.91,CA,1722980553.0
vuokatti,64.146,28.2697,49.86,76.0,37.0,3.29,FI,1722980565.0
gaspe,48.8334,-64.4819,68.22,56.0,40.0,12.66,CA,1722980565.0
ilulissat,69.2167,-51.1,50.02,66.0,0.0,4.61,GL,1722980565.0
bandarbeyla,9.4942,50.8122,76.68,82.0,4.0,29.8,SO,1722980565.0
olyokminsk,60.3736,120.4264,63.28,76.0,84.0,0.51,RU,1722980565.0
papatowai,-46.5619,169.4708,48.16,61.0,57.0,6.4,NZ,1722980565.0
new norfolk,-42.7826,147.0587,52.92,72.0,93.0,6.31,AU,1722980565.0
markaz-e hukumat-e darweshan,31.1323,64.1934,88.2,21.0,0.0,12.21,AF,1722980565.0
tura,25.5198,90.2201,75.54,97.0,100.0,5.57,IN,1722980565.0
fort mcmurray,56.7268,-111.381,71.19,52.0,0.0,10.36,CA,1722980566.0
plastun,44.7561,136.2939,73.02,90.0,1.0,1.61,RU,1722980566.0
puerto santa,-8.9906,-78.6456,63.91,82.0,63.0,14.97,PE,1722980566.0
alcacer do sal,38.3733,-8.5144,68.02,86.0,0.0,10.45,PT,1722980566.0
cestos city,5.46,-9.5828,76.77,81.0,99.0,9.44,LR,1722980566.0
west end,26.6833,-78.9667,85.98,77.0,79.0,20.65,BS,1722980566.0
mil'kovo,55.6078,37.7956,63.05,89.0,14.0,4.34,RU,1722980566.0
loikaw,19.6742,97.2094,67.78,96.0,100.0,1.83,MM,1722980566.0
sandpoint,48.2766,-116.5533,90.45,40.0,59.0,3.0,US,1722980566.0
fauske,67.2588,15.3918,68.77,58.0,3.0,8.32,NO,1722980566.0
atafu village,-8.5421,-172.5159,82.31,78.0,89.0,14.83,TK,1722980566.0
novodvinsk,64.4165,40.8122,53.35,75.0,7.0,5.03,RU,1722980566.0
qaqortoq,60.7167,-46.0333,47.19,98.0,100.0,2.28,GL,1722980566.0
amarante do maranhao,-5.5667,-46.7422,81.52,36.0,25.0,4.0,BR,1722980567.0
kingston,17.997,-76.7936,90.55,70.0,20.0,13.8,JM,1722980381.0
timbuktu,16.7735,-3.0074,96.46,34.0,68.0,9.93,ML,1722980567.0
qutqashen,40.9814,47.8458,73.6,55.0,0.0,4.54,AZ,1722980567.0
prado,-17.3411,-39.2208,72.93,75.0,3.0,8.39,BR,1722980325.0
mount pearl,47.5166,-52.7813,66.45,85.0,100.0,17.27,CA,1722980567.0
taltal,-25.4,-70.4833,58.14,79.0,31.0,4.9,CL,1722980567.0
vilyuchinsk,52.9306,158.4028,55.67,95.0,100.0,2.01,RU,1722980567.0
daru,-9.0763,143.2092,76.12,87.0,95.0,15.01,PG,1722980567.0
miajadas,39.1513,-5.9084,79.52,22.0,0.0,6.78,ES,1722980567.0
cabo san lucas,22.8909,-109.9124,77.31,88.0,100.0,13.8,MX,1722980567.0
east london,-33.0153,27.9116,58.1,65.0,0.0,6.38,ZA,1722980567.0
papao,-17.75,-149.55,83.88,79.0,0.0,23.04,PF,1722980567.0
st. john's,47.5649,-52.7093,68.14,86.0,100.0,17.27,CA,1722980462.0
jamestown,42.097,-79.2353,71.24,100.0,75.0,4.61,US,1722980525.0
port elizabeth,-33.918,25.5701,50.31,93.0,0.0,4.61,ZA,1722980568.0
wailua homesteads,22.0669,-159.378,82.13,68.0,0.0,11.5,US,1722980568.0
matoury,4.8483,-52.3317,80.56,83.0,75.0,5.75,GF,1722980573.0
uturoa,-16.7333,-151.4333,78.66,86.0,20.0,17.72,PF,1722980573.0
palikir - national government center,6.9248,158.1611,81.45,89.0,75.0,4.61,FM,1722980573.0
kuanda,56.3161,116.0806,62.6,73.0,12.0,1.43,RU,1722980573.0
fortuna,40.5982,-124.1573,66.34,77.0,0.0,14.97,US,1722980573.0
karlskrona,56.1616,15.5866,59.45,86.0,35.0,3.06,SE,1722980573.0
toliara,-23.35,43.6667,67.73,85.0,0.0,10.07,MG,1722980573.0
lata,40.1629,-8.3327,68.07,99.0,79.0,2.51,PT,1722980573.0
avarua,-21.2078,-159.775,77.05,78.0,7.0,2.3,CK,1722980525.0
udachny,66.4167,112.4,48.49,70.0,48.0,2.71,RU,1722980574.0
george town,5.4112,100.3354,80.53,83.0,20.0,2.3,MY,1722980376.0
tynda,55.1667,124.7167,54.75,91.0,98.0,2.24,RU,1722980574.0
el granada,37.5027,-122.4694,94.42,49.0,20.0,11.5,US,1722980574.0
geraldton,-28.7667,114.6,63.01,88.0,85.0,12.66,AU,1722980574.0
cabedelo,-6.9811,-34.8339,77.67,81.0,19.0,13.65,BR,1722980574.0
puerto madero,14.7208,-92.4215,89.8,74.0,75.0,0.0,MX,1722980574.0
palembang,-2.9167,104.7458,77.09,88.0,40.0,0.0,ID,1722980574.0
chardara,41.2547,67.9692,78.96,28.0,0.0,13.04,KZ,1722980574.0
puerto baquerizo moreno,-0.9,-89.6,70.79,78.0,75.0,14.97,EC,1722980574.0
la passe,45.5549,-0.8967,70.03,90.0,97.0,7.0,FR,1722980575.0
kapuskasing,49.4169,-82.4331,69.89,45.0,75.0,12.66,CA,1722980282.0
sutherlin,43.3901,-123.3126,85.06,30.0,0.0,3.0,US,1722980575.0
pandan,14.0453,124.1694,80.71,86.0,79.0,10.38,PH,1722980575.0
isangel,-19.55,169.2667,72.03,62.0,31.0,13.24,VU,1722980575.0
saipan,15.1355,145.701,81.3,89.0,0.0,3.44,MP,1722980575.0
olonkinbyen,70.9221,-8.7187,42.75,100.0,100.0,10.98,SJ,1722980575.0
vanimo,-2.6741,141.3028,78.13,90.0,100.0,6.33,PG,1722980575.0
severo-yeniseyskiy,60.3725,93.0408,55.49,96.0,78.0,3.69,RU,1722980575.0
petropavlovsk-kamchatsky,53.0452,158.6483,54.19,100.0,75.0,2.24,RU,1722980575.0
moravsky krumlov,49.0489,16.3117,65.88,76.0,0.0,3.62,CZ,1722980575.0
klyuchi,52.2667,79.1667,65.98,80.0,92.0,7.31,RU,1722980575.0
arraial do cabo,-22.9661,-42.0278,73.36,78.0,0.0,10.36,BR,1722980575.0
pacific grove,36.6177,-121.9166,86.23,79.0,20.0,5.75,US,1722980576.0
puerto armuelles,8.2833,-82.8667,82.09,81.0,100.0,8.01,PA,1722980576.0
georgetown,5.4112,100.3354,80.53,83.0,20.0,2.3,MY,1722980554.0
dakhla,23.6848,-15.958,69.82,94.0,4.0,21.85,EH,1722980576.0
kvissleby,62.2936,17.375,57.04,93.0,0.0,0.81,SE,1722980576.0
nadi,-17.8,177.4167,73.4,64.0,20.0,6.91,FJ,1722980576.0
praia da vitoria,38.7333,-27.0667,75.76,83.0,40.0,7.63,PT,1722980576.0
jurmala,56.968,23.7704,61.99,100.0,0.0,1.14,LV,1722980576.0
alpena,45.0617,-83.4327,75.52,49.0,0.0,9.22,US,1722980576.0
bubaque,11.2833,-15.8333,79.25,85.0,100.0,16.46,GW,1722980576.0
karratha,-20.7377,116.8463,63.91,50.0,2.0,5.97,AU,1722980576.0
usogorsk,63.4106,48.6872,50.56,87.0,59.0,2.15,RU,1722980576.0
el abiodh sidi cheikh,32.893,0.5484,90.43,20.0,65.0,7.23,DZ,1722980577.0
puerto colombia,10.9878,-74.9547,84.29,80.0,88.0,6.4,CO,1722980582.0
swift current,50.2834,-107.8014,68.81,60.0,100.0,12.66,CA,1722980582.0
shitanjing,39.2342,106.3439,64.76,72.0,0.0,6.6,CN,1722980582.0
holualoa,19.6228,-155.9522,80.44,79.0,40.0,10.36,US,1722980582.0
bodo,67.28,14.405,68.77,62.0,0.0,12.66,NO,1722980582.0
itacarambi,-15.1022,-44.0919,77.61,46.0,23.0,11.95,BR,1722980582.0
menongue,-14.6585,17.691,58.93,21.0,6.0,3.87,AO,1722980582.0
college,64.8569,-147.8028,80.91,41.0,75.0,5.75,US,1722980582.0
luderitz,-26.6481,15.1594,54.66,76.0,9.0,4.18,NA,1722980540.0
eyl,7.9803,49.8164,76.69,82.0,41.0,23.47,SO,1722980582.0
alice springs,-23.7,133.8833,38.75,87.0,1.0,4.61,AU,1722980582.0
kabansk,52.0486,106.6528,56.48,95.0,97.0,4.21,RU,1722980582.0
richards bay,-28.783,32.0377,64.72,66.0,0.0,10.36,ZA,1722980583.0
tazovsky,67.4667,78.7,41.11,93.0,0.0,13.31,RU,1722980583.0
katabu,-4.9333,122.5167,74.32,87.0,8.0,5.03,ID,1722980583.0
kilindoni,-7.9139,39.6668,77.31,78.0,45.0,15.39,TZ,1722980583.0
maintirano,-18.0667,44.0167,71.8,76.0,0.0,11.41,MG,1722980583.0
port mathurin,-19.6833,63.4167,72.52,74.0,2.0,10.4,MU,1722980583.0
bouarfa,32.53,-1.95,88.18,13.0,70.0,0.69,MA,1722980583.0
nuuk,64.1835,-51.7216,47.01,100.0,75.0,3.44,GL,1722980583.0
chernomorskoye,45.5039,32.6997,74.01,73.0,94.0,15.75,UA,1722980583.0
punta arenas,-53.15,-70.9167,32.11,86.0,75.0,8.05,CL,1722980583.0
saldanha,-33.0117,17.9442,48.25,84.0,0.0,9.24,ZA,1722980583.0
mutuali,-14.8706,37.0044,64.42,67.0,0.0,4.18,MZ,1722980584.0
santyoku,37.4406,129.1708,79.03,82.0,46.0,3.98,KR,1722980584.0
marechal candido rondon,-24.5561,-54.0567,75.81,36.0,84.0,6.49,BR,1722980584.0
weno,7.4515,151.8468,82.35,83.0,100.0,3.44,FM,1722980584.0
marsh harbour,26.5412,-77.0636,84.69,76.0,100.0,15.19,BS,1722980584.0
williston,48.147,-103.618,91.81,46.0,2.0,3.0,US,1722980584.0
northam,51.0333,-4.2167,60.62,87.0,0.0,9.48,GB,1722980584.0
quellon,-43.1167,-73.6167,45.18,84.0,60.0,6.17,CL,1722980584.0
sitka,57.0531,-135.33,58.89,88.0,75.0,4.61,US,1722980584.0
karamay,45.6004,84.8661,84.0,22.0,100.0,10.33,CN,1722980584.0
talnakh,69.4865,88.3972,50.27,70.0,9.0,9.53,RU,1722980584.0
cannonvale,-20.2833,148.7,65.59,89.0,66.0,6.24,AU,1722980584.0
mont-laurier,46.5501,-75.4993,71.22,50.0,100.0,4.59,CA,1722980584.0
puerto deseado,-47.7503,-65.8938,38.25,70.0,72.0,7.92,AR,1722980585.0
kupang,-10.1667,123.5833,79.38,83.0,20.0,17.27,ID,1722980585.0
la sarre,48.8002,-79.1996,67.89,44.0,37.0,9.17,CA,1722980585.0
tilcara,-23.5776,-65.3509,49.64,15.0,54.0,10.47,AR,1722980585.0
lihue,21.9789,-159.3672,82.74,70.0,0.0,11.5,US,1722980502.0
acarau,-2.8856,-40.12,77.54,77.0,6.0,17.72,BR,1722980585.0
newman,37.3138,-121.0208,98.94,6.0,1.0,2.39,US,1722980585.0
tofol,5.3248,163.0078,82.38,73.0,85.0,11.34,FM,1722980585.0
youkounkoun,12.5333,-13.1333,73.92,97.0,91.0,6.91,GN,1722980586.0
port lincoln,-34.7333,135.8667,49.48,78.0,5.0,12.06,AU,1722980586.0
tabuk,17.4189,121.4443,73.06,93.0,95.0,2.26,PH,1722980586.0
rio gallegos,-51.6226,-69.2181,28.45,86.0,40.0,10.36,AR,1722980435.0
tremonton,41.7119,-112.1655,98.26,22.0,0.0,11.01,US,1722980586.0
san-pedro,4.7485,-6.6363,74.52,86.0,93.0,8.97,CI,1722980591.0
merizo village,13.2658,144.6691,81.16,95.0,19.0,1.19,GU,1722980591.0
aykhal,66.0,111.5,48.67,72.0,28.0,1.99,RU,1722980591.0
nelson bay,-32.7167,152.15,48.0,96.0,79.0,1.01,AU,1722980591.0
itamaraca,-7.7478,-34.8256,80.65,79.0,31.0,10.6,BR,1722980591.0
lubang,13.8584,120.124,83.5,79.0,66.0,18.37,PH,1722980591.0
utrik,11.2278,169.8474,83.14,78.0,84.0,13.04,MH,1722980591.0
kalevala,65.2,31.1667,47.98,78.0,8.0,3.87,RU,1722980591.0
fort bragg,35.139,-79.006,77.2,94.0,75.0,10.36,US,1722980499.0
necochea,-38.5473,-58.7368,52.02,98.0,100.0,10.96,AR,1722980592.0
princeville,45.7668,-61.2985,69.64,78.0,75.0,6.91,CA,1722980592.0
slave lake,55.2834,-114.769,67.98,60.0,20.0,4.61,CA,1722980592.0
bonthe,7.5264,-12.505,77.81,81.0,100.0,9.51,SL,1722980592.0
kuressaare,58.2481,22.5039,60.94,94.0,0.0,3.44,EE,1722980592.0
sandnessjoen,66.0217,12.6316,63.12,71.0,55.0,15.21,NO,1722980592.0
vail,32.0479,-110.712,96.51,29.0,12.0,21.16,US,1722980592.0
kailua-kona,19.6406,-155.9956,84.16,79.0,40.0,10.36,US,1722980504.0
makokou,0.5738,12.8642,75.31,67.0,91.0,2.8,GA,1722980592.0
saint-philippe,-21.3585,55.7679,67.59,73.0,30.0,4.54,RE,1722980592.0
panama city beach,30.1766,-85.8055,95.13,67.0,40.0,14.97,US,1722980311.0
i-n-salah,27.1935,2.4607,97.3,15.0,0.0,12.91,DZ,1722980592.0
howrah,22.5892,88.3103,82.4,94.0,40.0,3.44,IN,1722980593.0
afaahiti,-17.75,-149.2833,82.27,84.0,12.0,19.95,PF,1722980593.0
kedrovyy,56.1667,91.8167,57.61,99.0,83.0,4.27,RU,1722980593.0
novopskov,49.5464,39.0899,69.28,51.0,97.0,5.48,UA,1722980593.0
vorgashor,67.5833,63.95,39.87,76.0,6.0,7.87,RU,1722980593.0
mocoa,1.1493,-76.6466,74.68,92.0,57.0,1.66,CO,1722980593.0
fang,19.9169,99.2145,70.92,99.0,86.0,1.36,TH,1722980593.0
villa ojo de agua,-29.5,-63.6938,61.72,57.0,0.0,21.39,AR,1722980593.0
greenville,35.6127,-77.3663,75.36,99.0,40.0,5.75,US,1722980593.0
camabatela,-8.1881,15.375,62.85,65.0,4.0,4.85,AO,1722980593.0
susuman,62.7833,148.1667,48.11,79.0,100.0,4.36,RU,1722980594.0
muroto-misakicho,33.2833,134.15,83.03,78.0,25.0,4.79,JP,1722980594.0
silifke,36.3778,33.9344,80.4,85.0,0.0,8.79,TR,1722980594.0
mount isa,-20.7333,139.5,53.37,58.0,2.0,10.36,AU,1722980594.0
farasan,16.7022,42.1183,85.01,77.0,100.0,10.42,SA,1722980594.0
touros,-5.1989,-35.4608,75.81,81.0,19.0,15.82,BR,1722980594.0
qurayyat,31.3318,37.3428,80.78,36.0,0.0,10.36,SA,1722980594.0
vernon,50.2581,-119.2691,89.76,25.0,1.0,8.01,CA,1722980510.0
imbituba,-28.24,-48.6703,68.86,97.0,53.0,7.72,BR,1722980594.0
qamdo,31.1667,97.2333,45.95,79.0,100.0,1.88,CN,1722980594.0
cromwell,41.5951,-72.6454,75.0,87.0,100.0,9.22,US,1722980594.0
moyale,3.5167,39.0584,72.88,43.0,71.0,9.35,KE,1722980594.0
astrakhan,46.3497,48.0408,76.87,57.0,0.0,11.18,RU,1722980594.0
mount gambier,-37.8333,140.7667,44.44,99.0,95.0,6.58,AU,1722980594.0
yeed,4.55,43.0333,78.24,57.0,62.0,19.75,SO,1722980594.0
hinis,39.3606,41.7022,67.8,43.0,0.0,6.91,TR,1722980600.0
sala,34.0389,-6.8166,73.63,94.0,0.0,3.44,MA,1722980600.0
nova sintra,14.8667,-24.7167,78.6,83.0,100.0,16.06,CV,1722980600.0
wanning,18.8003,110.3967,78.46,89.0,0.0,7.36,CN,1722980600.0
alo,6.5486,4.2686,75.96,87.0,35.0,10.47,NG,1722980600.0
hithadhoo,-0.6,73.0833,81.93,73.0,18.0,2.04,MV,1722980600.0
zaozersk,69.4005,32.4476,53.73,64.0,7.0,3.42,RU,1722980600.0
kavieng,-2.5744,150.7967,82.72,79.0,96.0,12.86,PG,1722980600.0
yakeshi,49.2833,120.7333,60.87,91.0,100.0,2.77,CN,1722980600.0
gadzhiyevo,69.2551,33.3362,55.04,55.0,7.0,8.86,RU,1722980600.0
kurchatov,51.6601,35.6521,61.21,65.0,90.0,3.8,RU,1722980590.0
nuku'alofa,-21.1333,-175.2,71.94,60.0,20.0,6.91,TO,1722980600.0
mejit,10.2753,170.8646,83.1,77.0,87.0,13.96,MH,1722980600.0
pyhajarvi,67.0701,27.2176,51.94,62.0,21.0,3.36,FI,1722980601.0
tuapse,44.1125,39.0742,70.59,81.0,2.0,3.58,RU,1722980601.0
san patricio,28.017,-97.5169,95.72,39.0,23.0,10.45,US,1722980601.0
pudasjarvi,65.3833,26.9167,51.85,67.0,28.0,5.61,FI,1722980601.0
mhamid,29.82,-5.72,100.6,8.0,63.0,7.25,MA,1722980601.0
taulaga,-11.0553,-171.0883,79.95,83.0,99.0,15.82,AS,1722980601.0
broken hill,-31.95,141.4333,45.45,76.0,1.0,3.85,AU,1722980601.0
ayaviri,-14.8864,-70.5889,55.2,22.0,35.0,15.9,PE,1722980601.0
sungai penuh,-2.0833,101.3833,62.38,94.0,100.0,4.99,ID,1722980601.0
fale old settlement,-9.3852,-171.2468,82.69,76.0,59.0,16.06,TK,1722980601.0
winnemucca,40.973,-117.7357,98.65,6.0,0.0,11.5,US,1722980601.0
belur,13.1667,75.8667,68.54,95.0,100.0,7.47,IN,1722980601.0
augusto correa,-1.0217,-46.635,77.52,83.0,76.0,4.14,BR,1722980601.0
port macquarie,-31.4333,152.9167,50.07,89.0,75.0,1.99,AU,1722980601.0
lompoc,34.6391,-120.4579,82.85,40.0,2.0,8.77,US,1722980554.0
kruisfontein,-34.0033,24.7314,49.17,84.0,0.0,5.19,ZA,1722980602.0
ust-nera,64.5667,143.2,50.54,87.0,100.0,4.74,RU,1722980602.0
mata-utu,-13.2816,-176.1745,78.75,76.0,95.0,22.1,WF,1722980602.0
elko,41.0002,-115.5012,96.06,14.0,6.0,5.01,US,1722980276.0
darwin,-12.4611,130.8418,73.38,83.0,0.0,3.44,AU,1722980602.0
linton,39.0348,-87.1658,93.88,50.0,0.0,11.77,US,1722980602.0
kangding,30.0513,101.9603,59.83,94.0,79.0,1.5,CN,1722980602.0
hadibu,12.65,54.0333,77.18,80.0,23.0,18.45,YE,1722980602.0
tarko-sale,64.9225,77.785,43.88,76.0,6.0,12.48,RU,1722980602.0
torit,4.4133,32.5678,68.94,76.0,99.0,1.66,SS,1722980602.0
ciudad lazaro cardenas,17.9583,-102.2,86.94,64.0,80.0,10.78,MX,1722980602.0
arkhangel'sk,64.5401,40.5433,51.91,93.0,20.0,6.71,RU,1722980603.0
cobija,-11.0267,-68.7692,91.58,58.0,40.0,4.61,BO,1722980603.0
christchurch,-43.5333,172.6333,44.91,87.0,0.0,2.59,NZ,1722980466.0
yuzhno-kurilsk,44.0306,145.8556,63.54,99.0,100.0,3.87,RU,1722980603.0
tobias barreto,-11.1839,-37.9983,67.77,88.0,5.0,7.27,BR,1722980603.0
leava,-14.3,-178.1667,77.99,67.0,11.0,21.07,WF,1722980603.0
ballina,-28.8667,153.5667,54.79,72.0,100.0,8.97,AU,1722980603.0
